aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin,nearestElementaryDistance,nearestElementaryName,nearestMiddleDistance,nearestMiddleName,isSchoolPremium
1018동,마곡엠밸리10단지,2016,개인, , ,136000,14,3,2025,중개거래,서울 강서구,84.89,10,747,N,25.07.15,11500,개인,마곡동,9,0,2025-03,1,서울 강서구,서울 강서구 마곡동 747,1,37.5592884593333,126.81932504091,60~90,347.52680342689746,서울공진초등학교,192.28437456811307,마곡하늬중학교,True
106,동성,1993,개인, , ,60000,28,3,2025,중개거래,서울 강서구,64.65,1,817,N,25.04.24,11500,개인,방화동,32,0,2025-03,1,서울 강서구,서울 강서구 방화동 817,1,37.579602932122,126.812182127338,60~90,179.8431050515093,서울삼정초등학교,251.0815424434673,삼정중학교,True
 ,태영,1999,개인, , ,70000,26,3,2025,직거래, ,84.93,2,270-1,N, ,11500,개인,염창동,26,0,2025-03,1, ,  염창동 270-1,1,37.5533776970786,126.867211516118,60~90,38.242049574129545,서울염창초등학교,320.1901609172965,염경중학교,True
603,가양6단지,1992,개인, , ,73500,11,3,2025,중개거래,서울 강서구,49.5,10,1485,N,25.06.09,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60,131.42417741845085,서울가양초등학교,258.69662257001545,경서중학교,True
101동,신마곡벽산블루밍,2020,개인, , ,89500,26,3,2025,직거래, ,72.8607,5,904,N,25.06.25,11500,개인,방화동,5,0,2025-03,1, ,  방화동 904,1,37.5712896980823,126.808179412194,60~90,293.21545882664145,서울방화초등학교,493.7899615594965,방원중학교,True
101,화곡1차보람더하임,2003,개인, , ,40000,26,3,2025,직거래, ,68.37,11,1087,N,25.04.23,11500,개인,화곡동,22,0,2025-03,1, ,  화곡동 1087,0,37.5383617579482,126.834992940937,60~90,391.0367975916783,서울월정초등학교,538.0129958397899,신화중학교,True
1,NS파크APT,2018,개인, , ,25500,26,3,2025,중개거래,서울 강서구,29.93,4,1076-9,N,25.05.27,11500,개인,화곡동,7,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1076-9,1,37.5409500349642,126.841689303276,~30,207.80592242732948,서울신월초등학교,529.5142458564558,화원중학교,True
612,가양6단지,1992,개인, , ,79000,29,3,2025,중개거래,"서울 강서구, 서울 용산구",49.5,15,1485,N,25.06.20,11500,개인,가양동,33,1,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60,131.42417741845085,서울가양초등학교,258.69662257001545,경서중학교,True
 ,우장산롯데캐슬,2003,개인,25.07.01,O,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N, ,11500,개인,화곡동,22,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1145,0,37.5556368030986,126.848318501804,60~90,488.6887008828377,서울등원초등학교,549.7779971750749,등원중학교,True
 ,빛고을우방,1999,개인, , ,75500,26,3,2025,중개거래,서울 강서구,59.97,15,448-9,N, ,11500,개인,가양동,26,1,2025-03,1,서울 강서구,서울 강서구 가양동 448-9,1,37.5601069146431,126.857950252379,30~60,239.5934196418308,서울가양초등학교,127.03594105308095,경서중학교,True
